	SUVnorm_st-1	SUVnorm_st-2	SUVnorm_st-3	SUV1.3_st-1	SUV1.3_st-2	SUV1.3_st-3	SUV10_st-1	SUV10_st-2	SUV10_st-3	SUVmax_st-1	SUVmax_st-2	SUVmax_st-3	TBR1.3_st-1	TBR1.3_st-2	TBR1.3_st-3	TBR10_st-1	TBR10_st-2	TBR10_st-3	TBRmax_st-1	TBRmax_st-2	TBRmax_st-3	TMV1.3_st-1	TMV1.3_st-2	TMV1.3_st-3
SUVnorm_st-1	1.0	0.1235	0.0012	0.0311	0.0025	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.7312	0.1636	0.0046	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.001	0.0041
SUVnorm_st-2	0.1235	1.0	0.0178	0.468	0.0934	0.0	0.0076	0.0009	0.0	0.0011	0.0	0.0	0.2934	0.9724	0.103	0.0102	0.0006	0.0	0.0004	0.0	0.0	0.0001	0.0013	0.0049
SUVnorm_st-3	0.0012	0.0178	1.0	0.0641	0.2569	0.1151	0.7915	0.435	0.0005	0.5963	0.0031	0.0	0.0031	0.0235	0.304	0.6315	0.4021	0.0037	0.4805	0.0338	0.0	0.0013	0.003	0.0081
SUV1.3_st-1	0.0311	0.468	0.0641	1.0	0.3422	0.0003	0.0484	0.0054	0.0	0.0075	0.0	0.0	0.0945	0.5256	0.3338	0.0687	0.004	0.0	0.0032	0.0002	0.0	0.0002	0.0016	0.0054
SUV1.3_st-2	0.0025	0.0934	0.2569	0.3422	1.0	0.0036	0.2884	0.0399	0.0	0.0609	0.0	0.0	0.0114	0.1257	0.9344	0.3938	0.0326	0.0001	0.034	0.0012	0.0	0.0004	0.002	0.0063
SUV1.3_st-3	0.0	0.0	0.1151	0.0003	0.0036	1.0	0.0418	0.409	0.0194	0.2479	0.1333	0.0001	0.0	0.0001	0.0059	0.0221	0.4343	0.1023	0.3122	0.4461	0.0007	0.0068	0.0058	0.0122
SUV10_st-1	0.0001	0.0076	0.7915	0.0484	0.2884	0.0418	1.0	0.247	0.0001	0.3663	0.0005	0.0	0.0006	0.0128	0.3548	0.7996	0.2195	0.0009	0.2634	0.0116	0.0	0.0009	0.0027	0.0076
SUV10_st-2	0.0	0.0009	0.435	0.0054	0.0399	0.409	0.247	1.0	0.003	0.7664	0.0223	0.0	0.0001	0.0015	0.0554	0.1612	0.9589	0.0206	0.8938	0.1377	0.0001	0.003	0.0042	0.0099
SUV10_st-3	0.0	0.0	0.0005	0.0	0.0	0.0194	0.0001	0.003	1.0	0.0012	0.2768	0.1012	0.0	0.0	0.0	0.0	0.0033	0.4586	0.0016	0.121	0.3171	0.1032	0.0204	0.0272
SUVmax_st-1	0.0	0.0011	0.5963	0.0075	0.0609	0.2479	0.3663	0.7664	0.0012	1.0	0.0083	0.0	0.0001	0.0019	0.0846	0.2453	0.7233	0.009	0.8575	0.0748	0.0	0.0021	0.0037	0.0092
SUVmax_st-2	0.0	0.0	0.0031	0.0	0.0	0.1333	0.0005	0.0223	0.2768	0.0083	1.0	0.0042	0.0	0.0	0.0	0.0002	0.0241	0.7616	0.0114	0.5426	0.0298	0.0302	0.0112	0.0186
SUVmax_st-3	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.1012	0.0	0.0042	1.0	0.0	0.0	0.0	0.0	0.0	0.0159	0.0	0.0013	0.5219	0.4416	0.0505	0.05
TBR1.3_st-1	0.7312	0.2934	0.0031	0.0945	0.0114	0.0	0.0006	0.0001	0.0	0.0001	0.0	0.0	1.0	0.3252	0.0158	0.0007	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0011	0.0043
TBR1.3_st-2	0.1636	0.9724	0.0235	0.5256	0.1257	0.0001	0.0128	0.0015	0.0	0.0019	0.0	0.0	0.3252	1.0	0.1321	0.0177	0.0011	0.0	0.0007	0.0	0.0	0.0001	0.0014	0.0049
TBR1.3_st-3	0.0046	0.103	0.304	0.3338	0.9344	0.0059	0.3548	0.0554	0.0	0.0846	0.0	0.0	0.0158	0.1321	1.0	0.4725	0.0462	0.0001	0.0506	0.0019	0.0	0.0004	0.0021	0.0064
TBR10_st-1	0.0001	0.0102	0.6315	0.0687	0.3938	0.0221	0.7996	0.1612	0.0	0.2453	0.0002	0.0	0.0007	0.0177	0.4725	1.0	0.1399	0.0004	0.1641	0.0063	0.0	0.0007	0.0025	0.0072
TBR10_st-2	0.0	0.0006	0.4021	0.004	0.0326	0.4343	0.2195	0.9589	0.0033	0.7233	0.0241	0.0	0.0001	0.0011	0.0462	0.1399	1.0	0.0222	0.8493	0.1471	0.0001	0.0031	0.0042	0.01
TBR10_st-3	0.0	0.0	0.0037	0.0	0.0001	0.1023	0.0009	0.0206	0.4586	0.009	0.7616	0.0159	0.0	0.0	0.0001	0.0004	0.0222	1.0	0.012	0.403	0.078	0.0451	0.0133	0.0207
TBRmax_st-1	0.0	0.0004	0.4805	0.0032	0.034	0.3122	0.2634	0.8938	0.0016	0.8575	0.0114	0.0	0.0	0.0007	0.0506	0.1641	0.8493	0.012	1.0	0.0959	0.0	0.0024	0.0039	0.0095
TBRmax_st-2	0.0	0.0	0.0338	0.0002	0.0012	0.4461	0.0116	0.1377	0.121	0.0748	0.5426	0.0013	0.0	0.0	0.0019	0.0063	0.1471	0.403	0.0959	1.0	0.0102	0.0172	0.0085	0.0155
TBRmax_st-3	0.0	0.0	0.0	0.0	0.0	0.0007	0.0	0.0001	0.3171	0.0	0.0298	0.5219	0.0	0.0	0.0	0.0	0.0001	0.078	0.0	0.0102	1.0	0.2673	0.0357	0.0395
TMV1.3_st-1	0.0001	0.0001	0.0013	0.0002	0.0004	0.0068	0.0009	0.003	0.1032	0.0021	0.0302	0.4416	0.0001	0.0001	0.0004	0.0007	0.0031	0.0451	0.0024	0.0172	0.2673	1.0	0.1265	0.0923
TMV1.3_st-2	0.001	0.0013	0.003	0.0016	0.002	0.0058	0.0027	0.0042	0.0204	0.0037	0.0112	0.0505	0.0011	0.0014	0.0021	0.0025	0.0042	0.0133	0.0039	0.0085	0.0357	0.1265	1.0	0.602
TMV1.3_st-3	0.0041	0.0049	0.0081	0.0054	0.0063	0.0122	0.0076	0.0099	0.0272	0.0092	0.0186	0.05	0.0043	0.0049	0.0064	0.0072	0.01	0.0207	0.0095	0.0155	0.0395	0.0923	0.602	1.0
