	Param_pair	p_value	FWER
1	SUVnorm_st-1_-_SUVnorm_st-3	0.00015	0.0003
2	SUVnorm_st-1_-_SUV1.3_st-1	7e-05	0.0002
3	SUVnorm_st-1_-_SUV10_st-1	0.0	0.0
4	SUVnorm_st-1_-_SUVmax_st-1	0.0	0.0
5	SUVnorm_st-1_-_TBR1.3_st-1	0.03299	0.0463
6	SUVnorm_st-1_-_TBR10_st-1	0.0	0.0
7	SUVnorm_st-1_-_TBRmax_st-1	0.0	0.0
8	SUVnorm_st-1_-_TMV1.3_st-1	3e-05	0.0001
9	SUVnorm_st-2_-_SUVnorm_st-3	0.00909	0.014
10	SUVnorm_st-2_-_SUV1.3_st-2	0.00012	0.0002
11	SUVnorm_st-2_-_SUV10_st-2	0.0	0.0
12	SUVnorm_st-2_-_SUVmax_st-2	0.0	0.0
14	SUVnorm_st-2_-_TBR10_st-2	0.0	0.0
15	SUVnorm_st-2_-_TBRmax_st-2	0.0	0.0
16	SUVnorm_st-2_-_TMV1.3_st-2	0.0	0.0
17	SUVnorm_st-3_-_SUV1.3_st-3	9e-05	0.0002
18	SUVnorm_st-3_-_SUV10_st-3	0.0	0.0
19	SUVnorm_st-3_-_SUVmax_st-3	0.0	0.0
21	SUVnorm_st-3_-_TBR10_st-3	1e-05	0.0
22	SUVnorm_st-3_-_TBRmax_st-3	0.0	0.0
23	SUVnorm_st-3_-_TMV1.3_st-3	1e-05	0.0
25	SUV1.3_st-1_-_SUV1.3_st-3	0.00127	0.0023
26	SUV1.3_st-1_-_SUV10_st-1	0.00081	0.0015
27	SUV1.3_st-1_-_SUVmax_st-1	0.00012	0.0002
28	SUV1.3_st-1_-_TBR1.3_st-1	0.02368	0.0337
29	SUV1.3_st-1_-_TBR10_st-1	0.00779	0.0122
30	SUV1.3_st-1_-_TBRmax_st-1	0.0003	0.0006
31	SUV1.3_st-1_-_TMV1.3_st-1	4e-05	0.0001
32	SUV1.3_st-2_-_SUV1.3_st-3	0.00773	0.0122
33	SUV1.3_st-2_-_SUV10_st-2	0.00043	0.0008
34	SUV1.3_st-2_-_SUVmax_st-2	0.0	0.0
35	SUV1.3_st-2_-_TBR1.3_st-2	0.02059	0.0301
36	SUV1.3_st-2_-_TBR10_st-2	0.00156	0.0027
37	SUV1.3_st-2_-_TBRmax_st-2	2e-05	0.0001
38	SUV1.3_st-2_-_TMV1.3_st-2	0.0	0.0
39	SUV1.3_st-3_-_SUV10_st-3	0.00051	0.001
40	SUV1.3_st-3_-_SUVmax_st-3	1e-05	0.0
41	SUV1.3_st-3_-_TBR1.3_st-3	0.00103	0.0019
42	SUV1.3_st-3_-_TBR10_st-3	0.00467	0.0076
43	SUV1.3_st-3_-_TBRmax_st-3	1e-05	0.0
44	SUV1.3_st-3_-_TMV1.3_st-3	1e-05	0.0
46	SUV10_st-1_-_SUV10_st-3	0.00241	0.004
48	SUV10_st-1_-_TBR1.3_st-1	1e-05	0.0
51	SUV10_st-1_-_TMV1.3_st-1	8e-05	0.0002
52	SUV10_st-2_-_SUV10_st-3	0.0173	0.0256
54	SUV10_st-2_-_TBR1.3_st-2	1e-05	0.0
57	SUV10_st-2_-_TMV1.3_st-2	0.0	0.0
59	SUV10_st-3_-_TBR1.3_st-3	1e-05	0.0
62	SUV10_st-3_-_TMV1.3_st-3	4e-05	0.0001
64	SUVmax_st-1_-_SUVmax_st-3	0.00148	0.0026
65	SUVmax_st-1_-_TBR1.3_st-1	0.0	0.0
66	SUVmax_st-1_-_TBR10_st-1	0.01725	0.0256
68	SUVmax_st-1_-_TMV1.3_st-1	0.00014	0.0003
70	SUVmax_st-2_-_TBR1.3_st-2	0.0	0.0
71	SUVmax_st-2_-_TBR10_st-2	0.00538	0.0087
73	SUVmax_st-2_-_TMV1.3_st-2	0.0	0.0
74	SUVmax_st-3_-_TBR1.3_st-3	0.0	0.0
75	SUVmax_st-3_-_TBR10_st-3	0.01706	0.0256
77	SUVmax_st-3_-_TMV1.3_st-3	8e-05	0.0002
79	TBR1.3_st-1_-_TBR1.3_st-3	0.02248	0.0324
80	TBR1.3_st-1_-_TBR10_st-1	3e-05	0.0001
81	TBR1.3_st-1_-_TBRmax_st-1	1e-05	0.0
82	TBR1.3_st-1_-_TMV1.3_st-1	3e-05	0.0001
84	TBR1.3_st-2_-_TBR10_st-2	1e-05	0.0
85	TBR1.3_st-2_-_TBRmax_st-2	0.0	0.0
86	TBR1.3_st-2_-_TMV1.3_st-2	0.0	0.0
87	TBR1.3_st-3_-_TBR10_st-3	2e-05	0.0001
88	TBR1.3_st-3_-_TBRmax_st-3	0.0	0.0
89	TBR1.3_st-3_-_TMV1.3_st-3	1e-05	0.0
91	TBR10_st-1_-_TBR10_st-3	0.00228	0.0038
93	TBR10_st-1_-_TMV1.3_st-1	6e-05	0.0001
96	TBR10_st-2_-_TMV1.3_st-2	0.0	0.0
98	TBR10_st-3_-_TMV1.3_st-3	3e-05	0.0001
100	TBRmax_st-1_-_TBRmax_st-3	0.00171	0.0029
101	TBRmax_st-1_-_TMV1.3_st-1	0.0001	0.0002
103	TBRmax_st-2_-_TMV1.3_st-2	0.0	0.0
104	TBRmax_st-3_-_TMV1.3_st-3	4e-05	0.0001
