	1-st	2-st	3-st	2-1	3-2	3-1
SUVnorm-st	(-0.27, 0.06)	(-0.15, 0.31)	(-0.18, 0.22)			
SUVnorm-1				(-0.28, 0.04)		(-0.26, 0.06)
SUVnorm-2					(-0.15, 0.31)	
SUVnorm-3						
SUV1.3-st	(0.07, 0.62)	(-0.11, 0.46)	(-0.12, 0.4)			
SUV1.3-1				(-0.2, 0.17)		(-0.15, 0.29)
SUV1.3-2					(-0.08, 0.59)	
SUV1.3-3						
SUV10-st	(0.12, 0.4)	(0.02, 0.89)	(0.12, 0.4)			
SUV10-1				(0.08, 0.59)		(0.21, 0.14)
SUV10-2					(0.05, 0.71)	
SUV10-3						
SUVmax-st	(0.13, 0.36)	(-0.25, 0.07)	(-0.25, 0.08)			
SUVmax-1				(-0.0, 0.97)		(-0.03, 0.83)
SUVmax-2					(-0.06, 0.65)	
SUVmax-3						
TBR1.3-st	(0.1, 0.5)	(-0.01, 0.97)	(0.02, 0.88)			
TBR1.3-1				(0.17, 0.22)		(0.26, 0.07)
TBR1.3-2					(-0.06, 0.65)	
TBR1.3-3						
TBR10-st	(-0.03, 0.81)	(0.08, 0.56)	(0.26, 0.06)			
TBR10-1				(0.12, 0.41)		(0.32, 0.02)
TBR10-2					(0.16, 0.27)	
TBR10-3						
TBRmax-st	(-0.03, 0.81)	(-0.13, 0.36)	(-0.2, 0.15)			
TBRmax-1				(0.15, 0.3)		(0.13, 0.37)
TBRmax-2					(-0.03, 0.82)	
TBRmax-3						
TMV1.3-st	(-0.27, 0.06)	(-0.31, 0.03)	(-0.25, 0.08)			
TMV1.3-1				(-0.32, 0.02)		(-0.28, 0.05)
TMV1.3-2					(-0.33, 0.02)	
TMV1.3-3						
