	1-st	2-st	3-st	2-1	3-2	3-1
SUVnorm-st	(0.24, 0.09)	(-0.14, 0.31)	(-0.14, 0.32)			
SUVnorm-1				(-0.3, 0.04)		(-0.26, 0.07)
SUVnorm-2					(-0.04, 0.77)	
SUVnorm-3						
SUV1.3-st	(0.24, 0.1)	(-0.14, 0.34)	(-0.23, 0.1)			
SUV1.3-1				(-0.32, 0.02)		(-0.36, 0.01)
SUV1.3-2					(-0.19, 0.17)	
SUV1.3-3						
SUV10-st	(0.09, 0.53)	(-0.18, 0.2)	(-0.44, 0.0)			
SUV10-1				(-0.23, 0.1)		(-0.43, 0.0)
SUV10-2					(-0.43, 0.0)	
SUV10-3						
SUVmax-st	(-0.04, 0.78)	(-0.3, 0.03)	(-0.51, 0.0)			
SUVmax-1				(-0.27, 0.05)		(-0.48, 0.0)
SUVmax-2					(-0.42, 0.0)	
SUVmax-3						
TBR1.3-st	(-0.1, 0.5)	(-0.2, 0.15)	(-0.33, 0.02)			
TBR1.3-1				(-0.17, 0.23)		(-0.3, 0.04)
TBR1.3-2					(-0.27, 0.05)	
TBR1.3-3						
TBR10-st	(-0.02, 0.88)	(-0.08, 0.59)	(-0.3, 0.04)			
TBR10-1				(-0.11, 0.44)		(-0.29, 0.04)
TBR10-2					(-0.31, 0.03)	
TBR10-3						
TBRmax-st	(-0.17, 0.24)	(-0.2, 0.16)	(-0.44, 0.0)			
TBRmax-1				(-0.15, 0.3)		(-0.38, 0.01)
TBRmax-2					(-0.38, 0.01)	
TBRmax-3						
TMV1.3-st	(-0.2, 0.15)	(-0.21, 0.14)	(-0.21, 0.13)			
TMV1.3-1				(-0.17, 0.23)		(-0.22, 0.13)
TMV1.3-2					(-0.17, 0.23)	
TMV1.3-3						
