	1-st	2-st	3-st	2-1	3-2	3-1
SUVnorm-st	(0.04, 0.78)	(0.02, 0.89)	(0.05, 0.73)			
SUVnorm-1				(-0.08, 0.57)		(-0.05, 0.75)
SUVnorm-2					(0.11, 0.42)	
SUVnorm-3						
SUV1.3-st	(0.05, 0.74)	(0.1, 0.51)	(0.02, 0.91)			
SUV1.3-1				(-0.07, 0.61)		(-0.11, 0.45)
SUV1.3-2					(-0.01, 0.96)	
SUV1.3-3						
SUV10-st	(0.11, 0.44)	(0.07, 0.65)	(-0.28, 0.05)			
SUV10-1				(-0.12, 0.41)		(-0.33, 0.02)
SUV10-2					(-0.39, 0.0)	
SUV10-3						
SUVmax-st	(0.05, 0.71)	(0.07, 0.62)	(-0.21, 0.13)			
SUVmax-1				(-0.11, 0.43)		(-0.29, 0.04)
SUVmax-2					(-0.32, 0.02)	
SUVmax-3						
TBR1.3-st	(-0.1, 0.47)	(-0.16, 0.25)	(-0.3, 0.04)			
TBR1.3-1				(-0.14, 0.34)		(-0.26, 0.07)
TBR1.3-2					(-0.27, 0.06)	
TBR1.3-3						
TBR10-st	(0.16, 0.25)	(0.06, 0.65)	(-0.22, 0.13)			
TBR10-1				(-0.11, 0.42)		(-0.29, 0.04)
TBR10-2					(-0.32, 0.02)	
TBR10-3						
TBRmax-st	(0.03, 0.81)	(0.12, 0.41)	(-0.26, 0.07)			
TBRmax-1				(-0.06, 0.67)		(-0.3, 0.03)
TBRmax-2					(-0.42, 0.0)	
TBRmax-3						
TMV1.3-st	(0.35, 0.01)	(-0.17, 0.23)	(-0.59, 0.0)			
TMV1.3-1				(-0.46, 0.0)		(-0.7, 0.0)
TMV1.3-2					(-0.56, 0.0)	
TMV1.3-3						
