	1-st	2-st	3-st	2-1	3-2	3-1
SUVnorm-st	(-0.01, 0.93)	(0.06, 0.66)	(0.05, 0.73)			
SUVnorm-1				(-0.01, 0.96)		(-0.03, 0.84)
SUVnorm-2					(0.04, 0.78)	
SUVnorm-3						
SUV1.3-st	(0.16, 0.25)	(0.02, 0.9)	(0.02, 0.88)			
SUV1.3-1				(0.02, 0.9)		(0.06, 0.65)
SUV1.3-2					(-0.0, 0.99)	
SUV1.3-3						
SUV10-st	(0.34, 0.01)	(0.38, 0.01)	(0.45, 0.0)			
SUV10-1				(0.38, 0.01)		(0.5, 0.0)
SUV10-2					(0.37, 0.01)	
SUV10-3						
SUVmax-st	(0.31, 0.03)	(0.17, 0.25)	(0.17, 0.23)			
SUVmax-1				(0.38, 0.01)		(0.3, 0.03)
SUVmax-2					(0.42, 0.0)	
SUVmax-3						
TBR1.3-st	(0.28, 0.05)	(0.27, 0.05)	(0.25, 0.08)			
TBR1.3-1				(0.41, 0.0)		(0.46, 0.0)
TBR1.3-2					(0.07, 0.64)	
TBR1.3-3						
TBR10-st	(0.41, 0.0)	(0.49, 0.0)	(0.52, 0.0)			
TBR10-1				(0.5, 0.0)		(0.56, 0.0)
TBR10-2					(0.58, 0.0)	
TBR10-3						
TBRmax-st	(0.4, 0.0)	(0.18, 0.21)	(0.3, 0.03)			
TBRmax-1				(0.49, 0.0)		(0.43, 0.0)
TBRmax-2					(0.41, 0.0)	
TBRmax-3						
TMV1.3-st	(0.63, 0.0)	(0.45, 0.0)	(0.59, 0.0)			
TMV1.3-1				(0.56, 0.0)		(0.57, 0.0)
TMV1.3-2					(0.41, 0.0)	
TMV1.3-3						
