	1-st	2-st	3-st	2-1	3-2	3-1
SUVnorm-st	(0.21, 0.13)	(-0.14, 0.34)	(-0.06, 0.66)			
SUVnorm-1				(-0.27, 0.05)		(-0.19, 0.18)
SUVnorm-2					(-0.0, 0.97)	
SUVnorm-3						
SUV1.3-st	(0.33, 0.02)	(-0.23, 0.1)	(-0.27, 0.06)			
SUV1.3-1				(-0.38, 0.01)		(-0.35, 0.01)
SUV1.3-2					(-0.18, 0.22)	
SUV1.3-3						
SUV10-st	(0.12, 0.39)	(-0.2, 0.16)	(-0.38, 0.01)			
SUV10-1				(-0.23, 0.1)		(-0.38, 0.01)
SUV10-2					(-0.42, 0.0)	
SUV10-3						
SUVmax-st	(-0.11, 0.43)	(-0.32, 0.02)	(-0.49, 0.0)			
SUVmax-1				(-0.24, 0.09)		(-0.42, 0.0)
SUVmax-2					(-0.39, 0.0)	
SUVmax-3						
TBR1.3-st	(-0.19, 0.18)	(-0.4, 0.0)	(-0.52, 0.0)			
TBR1.3-1				(-0.32, 0.02)		(-0.42, 0.0)
TBR1.3-2					(-0.41, 0.0)	
TBR1.3-3						
TBR10-st	(-0.06, 0.69)	(-0.11, 0.46)	(-0.3, 0.03)			
TBR10-1				(-0.09, 0.54)		(-0.23, 0.1)
TBR10-2					(-0.38, 0.01)	
TBR10-3						
TBRmax-st	(-0.19, 0.19)	(-0.24, 0.09)	(-0.48, 0.0)			
TBRmax-1				(-0.13, 0.35)		(-0.35, 0.01)
TBRmax-2					(-0.41, 0.0)	
TBRmax-3						
TMV1.3-st	(-0.28, 0.05)	(-0.24, 0.09)	(-0.16, 0.28)			
TMV1.3-1				(-0.26, 0.07)		(-0.14, 0.32)
TMV1.3-2					(-0.1, 0.49)	
TMV1.3-3						
