	1-st	2-st	3-st	2-1	3-2	3-1
SUVnorm-st	(-0.26, 0.07)	(-0.14, 0.33)	(-0.12, 0.4)			
SUVnorm-1				(-0.27, 0.06)		(-0.2, 0.15)
SUVnorm-2					(-0.17, 0.23)	
SUVnorm-3						
SUV1.3-st	(0.0, 1.0)	(-0.2, 0.16)	(-0.16, 0.26)			
SUV1.3-1				(-0.24, 0.08)		(-0.14, 0.33)
SUV1.3-2					(-0.13, 0.35)	
SUV1.3-3						
SUV10-st	(0.05, 0.72)	(0.02, 0.88)	(0.06, 0.66)			
SUV10-1				(0.08, 0.56)		(0.16, 0.28)
SUV10-2					(-0.05, 0.74)	
SUV10-3						
SUVmax-st	(0.03, 0.82)	(-0.25, 0.08)	(-0.29, 0.04)			
SUVmax-1				(0.02, 0.88)		(-0.09, 0.54)
SUVmax-2					(-0.05, 0.71)	
SUVmax-3						
TBR1.3-st	(0.04, 0.8)	(0.11, 0.42)	(0.08, 0.59)			
TBR1.3-1				(0.21, 0.13)		(0.29, 0.04)
TBR1.3-2					(-0.12, 0.42)	
TBR1.3-3						
TBR10-st	(-0.06, 0.68)	(0.1, 0.47)	(0.24, 0.09)			
TBR10-1				(0.17, 0.23)		(0.29, 0.04)
TBR10-2					(0.21, 0.14)	
TBR10-3						
TBRmax-st	(-0.06, 0.67)	(-0.17, 0.24)	(-0.19, 0.19)			
TBRmax-1				(0.2, 0.16)		(0.1, 0.51)
TBRmax-2					(0.03, 0.86)	
TBRmax-3						
TMV1.3-st	(-0.41, 0.0)	(-0.45, 0.0)	(-0.47, 0.0)			
TMV1.3-1				(-0.45, 0.0)		(-0.41, 0.0)
TMV1.3-2					(-0.57, 0.0)	
TMV1.3-3						
