	1-st	2-st	3-st	2-1	3-2	3-1
SUVnorm-st	(0.02, 0.9)	(0.03, 0.86)	(0.08, 0.58)			
SUVnorm-1				(-0.04, 0.8)		(-0.02, 0.89)
SUVnorm-2					(0.12, 0.39)	
SUVnorm-3						
SUV1.3-st	(0.26, 0.07)	(-0.09, 0.52)	(-0.15, 0.31)			
SUV1.3-1				(-0.24, 0.09)		(-0.23, 0.11)
SUV1.3-2					(-0.12, 0.4)	
SUV1.3-3						
SUV10-st	(0.12, 0.4)	(-0.03, 0.86)	(-0.15, 0.28)			
SUV10-1				(-0.12, 0.42)		(-0.2, 0.16)
SUV10-2					(-0.25, 0.07)	
SUV10-3						
SUVmax-st	(-0.02, 0.9)	(0.0, 0.99)	(-0.19, 0.18)			
SUVmax-1				(-0.06, 0.68)		(-0.2, 0.15)
SUVmax-2					(-0.19, 0.18)	
SUVmax-3						
TBR1.3-st	(-0.15, 0.28)	(-0.37, 0.01)	(-0.47, 0.0)			
TBR1.3-1				(-0.31, 0.03)		(-0.38, 0.01)
TBR1.3-2					(-0.34, 0.01)	
TBR1.3-3						
TBR10-st	(0.2, 0.15)	(-0.05, 0.73)	(-0.23, 0.1)			
TBR10-1				(-0.13, 0.36)		(-0.23, 0.1)
TBR10-2					(-0.32, 0.02)	
TBR10-3						
TBRmax-st	(0.08, 0.58)	(-0.03, 0.85)	(-0.19, 0.18)			
TBRmax-1				(-0.08, 0.59)		(-0.2, 0.17)
TBRmax-2					(-0.37, 0.01)	
TBRmax-3						
TMV1.3-st	(0.14, 0.32)	(-0.01, 0.97)	(0.01, 0.94)			
TMV1.3-1				(-0.1, 0.5)		(-0.07, 0.65)
TMV1.3-2					(-0.09, 0.53)	
TMV1.3-3						
