	1-st	2-st	3-st
SUVnorm-st	(-0.01, 0.93)	(0.06, 0.66)	(0.05, 0.73)
SUV1.3-st	(0.16, 0.25)	(0.02, 0.9)	(0.02, 0.88)
SUV10-st	(0.34, 0.01)	(0.38, 0.01)	(0.45, 0.0)
SUVmax-st	(0.31, 0.03)	(0.17, 0.25)	(0.17, 0.23)
TBR1.3-st	(0.28, 0.05)	(0.27, 0.05)	(0.25, 0.08)
TBR10-st	(0.41, 0.0)	(0.49, 0.0)	(0.52, 0.0)
TBRmax-st	(0.4, 0.0)	(0.18, 0.21)	(0.3, 0.03)
TMV1.3-st	(0.63, 0.0)	(0.45, 0.0)	(0.59, 0.0)
SUVnorm-st	(-0.26, 0.07)	(-0.14, 0.33)	(-0.12, 0.4)
SUV1.3-st	(0.0, 1.0)	(-0.2, 0.16)	(-0.16, 0.26)
SUV10-st	(0.05, 0.72)	(0.02, 0.88)	(0.06, 0.66)
SUVmax-st	(0.03, 0.82)	(-0.25, 0.08)	(-0.29, 0.04)
TBR1.3-st	(0.04, 0.8)	(0.11, 0.42)	(0.08, 0.59)
TBR10-st	(-0.06, 0.68)	(0.1, 0.47)	(0.24, 0.09)
TBRmax-st	(-0.06, 0.67)	(-0.17, 0.24)	(-0.19, 0.19)
TMV1.3-st	(-0.41, 0.0)	(-0.45, 0.0)	(-0.47, 0.0)
